new_time,dla_stromverbrauch_kwh,dla_volume_out_m3_per_m,dla_master_ae1_pressure_bar,dla_volume_out_m3,ofen_zuschlaege_kg,ofen_metall_kg,ofen_g_koks_kg,ofen_f_koks_kg,ofen_abwaerme_nestle_5893_mw,ofen_abwaerme_energievernichtung_6004/05_mw,ofen_abwaerme_heizkessel_6300_mw,ofen_abwaerme_energievernichtung_6506-9_mw,pl2_stromverbrauch_kwh,pl2_kasten_anzahl,pl2_gießgewicht_kg,pl2_volume_m3_542000
2023-01-01 00:00:00,0.02269350263406727,,,,0.0012808164575140197,0.0,0.0,0.0020754735009948966,0.0,0.07516611295681062,0.04881426224675993,0.032944517292454914,0.010648903700585383,0.0,0.0,0.07727295699196442
2023-01-01 00:15:00,0.022996082669188168,,,,0.11428726246588175,,,0.18519451663634626,0.0,0.09983388704318938,0.0,0.050185059715421004,0.010455832369084726,0.0,0.0,0.08035578915449537
2023-01-01 00:30:00,0.02193705254626503,,,,,,,,0.0,0.12463503649635037,0.028197884458618816,0.04541351706578263,0.010380953267394105,0.0,0.0,0.08793652398039116
2023-01-01 00:45:00,0.02571930298527624,,,,,,,,0.0,0.1002816301703163,0.01675912000842439,0.04351785860481099,0.010573159777701025,0.0,0.0,0.07599922222517266
2023-01-01 01:00:00,0.021483182493583684,,,,,,,,0.0,0.14958333333333335,0.0,0.04884144253470867,0.009838133831461692,0.0,0.0,0.07702060284626436
2023-01-01 01:15:00,0.025265432932594895,,,,,,,,0.0,0.12516666666666668,0.022611511122477352,0.047527289329977115,0.010681983111245628,0.0,0.0,0.0664677172543324
2023-01-01 01:30:00,0.024206402809671755,,,,,,,,0.0,0.14983333333333335,0.029793991126087806,0.0436531656824285,0.011065098900068876,0.0,0.0,0.07455652701268509
2023-01-01 01:45:00,0.022239632581385924,,,,,,,,0.0,0.05025,0.0,0.04955108526526371,0.011961341930506407,0.0,0.0,0.07478394905746197
2023-01-01 02:00:00,0.02344995272186951,,,,,,,,0.0,0.07491666666666667,0.0,0.049514288975531215,0.01129362790051254,0.0,0.0,0.06394349825643098
2023-01-01 02:15:00,0.021634472511144132,,,,,,,,0.0,0.07491805094130675,0.030060008903999298,0.0508414302800897,0.010805652541949297,0.0,0.0,0.0748723909637641
2023-01-01 02:30:00,0.02390382277455086,,,,,,,,0.0,0.09958194905869325,0.03045903557086655,0.05361272304479302,0.0074689561712330535,0.0,0.0,0.06755698185677465
2023-01-01 02:45:00,0.02178576252870458,,,,,,,,0.0,0.047708333333333325,0.030858062237733797,0.04901415981304482,0.00844894272059696,0.0,0.0,0.07353312781118916
2023-01-01 03:00:00,0.025114142915034447,,,,,,,,0.0,0.077625,0.0,0.0485553326084214,0.007312495603600384,0.0,0.0,0.06983120230454337
2023-01-01 03:15:00,0.021634472511144132,,,,,,,,0.0,0.22375,0.0,0.050763109992370416,0.008603169166812488,0.0,0.0,0.0711704654571183
2023-01-01 03:30:00,0.02450898284479265,,,,,,,,0.0,0.2490921926910299,0.0,0.030617504362015664,0.007256282226007809,0.0,0.0,0.06849193915196845
2023-01-01 03:45:00,0.02390382277455086,,,,,,,,0.0,0.27499114064230346,0.0,0.0364951733865921,0.008713289732147689,0.0,0.0,0.07099358164451407
2023-01-01 04:00:00,0.02072673240578144,,,,,,,,0.0,0.2511666666666667,0.0,0.030680596190007035,0.007081804550172391,0.0,0.0,0.07638853792894325
